,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
10,Bahamas,74.2875,152.0625,0,10.2713333333333,0,83.6,0,52.88125,0,95,6.706,95.75,0.11875,,,2.55,2.51875,0.7379375,12.425,0.17,Developing
11,Bahrain,75.725,65.375,0,1.93466666666667,602.087139648875,98.125,6.6875,51.65625,0,98,3.80733333333333,98.0625,0.1,11191.247420625,,6.10625,5.95,0.8079375,14.1125,0.21,Developing
12,Bangladesh,69.3,141.375,153.625,0.01,32.3209715146875,77.6153846153846,4649.9375,12.875,201.5625,87.5,2.85466666666667,92.75,0.1,443.561481025,42985163.875,13.775,14.33125,0.517875,8.69375,0.27,Developing
13,Barbados,74.35625,77.625,0,8.20666666666667,389.07699521375,84.0666666666667,0,45.975,0,80.3125,6.122,89.9375,0.25625,12017.098529375,,3.95625,3.91875,0.7704375,14.89375,0.58,Developing
14,Belarus,69.90625,218.75,0.5625,13.4973333333333,329.046455333125,88.9375,24.8125,54.74375,0.875,89.875,6.192,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.74325,14.75,3.55,Developing
15,Belgium,80.68125,70.1875,0.25,11.0426666666667,2392.43265675625,74.5,81.5625,50.89375,1,97.75,5.962,97.3125,0.1,16915.306,2884042.5625,0.8625,0.85625,0.87775,16.7875,0.42,Developed
16,Belize,69.26875,155.5,0,6.25266666666667,365.843489793125,94.75,0,37.675,0,95.5,5.03933333333333,95.1875,0.43125,3933.0121745,170392.875,3.55625,3.4875,0.6939375,12.45625,0.31,Developing
17,Benin,57.56875,269.375,25,1,43.99195641925,62.5714285714286,1116.875,19.6125,39.25,67.6875,4.636,67.9375,1.70625,561.167968,3942978.9375,8.25,8.1375,0.4380625,8.85,2.93,Developing
18,Bhutan,66.1625,230.25,0.6875,0.278666666666667,134.76406995375,94.125,80.25,17.58125,0.9375,89.375,5.346,93.875,0.35625,1353.98694560625,492584.9375,17.21875,17.925,0.183875,10.225,0.28,Developing
19,Bolivia (Plurinational State of),67.70625,177.5,10.75,3.212,0,82.875,7.625,44.81875,14,81.6875,5.626,87.375,0.15625,,,1.3,1.1875,0.63375,13.9625,0.62,Developing
20,Bosnia and Herzegovina,75.96875,64.9375,0,4.40533333333333,215.45745909825,71.6666666666667,319.1875,48.9625,0,78.3125,8.742,78.5,0.1,2245.0260235625,1986993.0625,2.78125,2.75625,0.450375,12.225,0.38,Developing
21,Botswana,56.05,448.125,2,4.67,334.266970872188,87.3125,237.875,32.24375,3.125,96.1875,5.51066666666667,95.8125,16.525,4498.2854311875,1063867.375,7.4375,7.8125,0.630375,12.1375,1.97,Developing
